id,label
110499,1
101319,0
108883,0
100925,1
110852,0
109538,1
108874,0
100082,0
110470,1
109725,1
103874,0
108214,0
102266,1
112940,0
102318,0
102162,0
106268,0
101888,0
108397,0
100901,0
106980,0
106283,1
110891,0
103818,0
111938,0
106200,1
109116,1
107311,1
102213,1
112378,1
110819,0
112456,0
110846,1
104540,0
110136,1
110718,0
103530,0
101797,0
110143,1
102987,0
108970,0
102506,0
109392,1
100695,0
103336,0
110388,1
101995,0
109812,1
107717,0
106342,1
112201,1
104207,1
105057,1
100110,1
103594,1
110747,1
101456,1
108880,0
103008,1
112871,0
101314,0
110408,1
110125,1
106336,1
104844,0
101023,1
110072,1
107032,0
105883,0
101843,1
108219,1
110919,0
104064,0
103193,0
100828,1
103003,1
101164,1
100528,1
103058,1
105311,0
103760,1
106328,0
102560,0
112713,1
110644,1
100809,1
110002,0
100998,0
107593,1
110869,0
109575,0
104607,1
100909,1
106267,0
112285,1
109520,0
100407,0
101775,0
100014,1
103061,0
112266,1
112412,1
109710,1
110987,0
109718,1
104144,0
103589,0
102550,1
106958,1
103499,1
111890,1
109223,1
106925,0
108481,1
112029,0
108155,1
105843,0
101345,1
107741,0
102728,0
100850,1
100504,0
105346,0
109888,1
108400,1
104394,0
101142,0
102330,0
108077,0
101814,0
102177,1
109238,1
100574,0
109178,0
106081,0
106866,0
109104,0
105642,0
100929,0
101772,1
103053,1
102481,0
107776,0
105950,0
103950,0
103100,0
109152,0
107769,1
103549,0
104228,1
107568,0
110815,0
111073,0
103370,0
109466,0
111769,0
112206,0
107069,1
105031,0
111235,0
103743,1
104359,1
111945,0
108791,0
109643,0
101520,1
112325,0
101469,0
108466,0
103537,0
108822,0
102741,1
101743,1
104771,1
100372,0
102904,0
106915,0
102556,0
101691,0
108082,0
110304,0
108477,0
104413,1
107838,1
105236,0
104888,1
108660,1
101097,0
100898,1
109257,1
111778,0
110487,0
109544,0
103107,0
107387,0
110344,1
111476,1
105187,0
107940,0
110249,0
104546,0
104241,1
109098,1
112880,1
103990,1
104564,0
109692,1
100304,0
101494,0
101688,0
111661,0
101406,1
112311,0
103768,0
108906,1
106001,0
107261,0
110949,0
111273,0
100640,1
107352,0
110660,1
106307,0
103154,0
111774,1
110081,1
112079,1
104736,1
104177,0
105138,0
103292,1
100016,0
111430,0
104809,0
103027,1
107704,0
110441,1
107177,1
109366,0
111095,0
100937,0
110243,0
104071,1
102230,1
100006,0
106089,1
100475,0
103025,1
105558,0
102373,1
102413,1
110502,0
100718,1
111564,0
104578,0
102524,0
105505,1
105822,0
107768,0
104746,0
103572,0
111349,1
105990,1
101898,0
111599,0
105625,0
110983,0
101698,0
102444,1
106942,0
112167,1
110343,0
102487,0
102324,1
101909,1
109097,1
112284,0
106728,0
100520,1
106520,1
111748,0
109923,1
112841,1
100904,0
102151,0
109478,0
106786,1
111885,0
106019,1
101001,0
104347,1
107252,0
101006,1
107273,1
106234,1
105976,1
110358,0
104906,1
112316,1
108597,0
100961,0
107412,0
102753,0
102348,0
111274,1
106296,0
110746,0
112058,1
103325,0
109233,0
103252,1
102264,1
103083,1
102659,0
100786,0
109234,1
105808,0
111093,0
108148,0
101394,0
110584,1
109972,1
110836,0
100721,0
110938,0
104584,1
105383,1
106788,0
106155,1
112908,1
102150,0
105203,0
101715,1
112455,1
108842,1
110082,0
112942,0
100705,0
112726,1
106994,1
101067,0
107180,0
106284,0
103534,0
102845,0
111677,0
112109,0
102912,0
105550,0
106888,0
108368,0
105278,0
107129,0
109092,0
108075,1
112502,1
108458,1
104122,1
100248,0
107418,0
104573,0
110435,1
104076,1
100580,0
103249,1
107921,0
111163,1
104534,0
111762,1
101005,0
112380,0
104189,0
111382,0
111360,1
111491,1
104634,0
100019,1
108508,0
101208,0
100406,0
109405,1
110400,1
110944,1
109839,1
109048,1
108306,1
106725,0
104821,0
108233,0
108501,0
112805,1
109357,1
101950,0
109081,0
104895,1
107504,0
105095,1
103218,1
109781,1
104440,0
102486,0
105292,0
109455,0
107573,1
108675,1
107912,0
101256,1
108732,0
105884,0
105742,1
110252,0
101160,0
102337,0
104059,0
104964,1
109072,1
107310,0
101555,1
112589,1
107524,1
105359,0
101799,1
106124,1
109952,0
103740,1
111591,1
106796,1
108702,1
102925,1
109750,0
101117,0
110173,1
104216,0
108034,1
111464,0
101690,1
102502,1
104017,0
104969,0
106563,1
102708,1
104315,0
107949,1
101783,1
112633,1
109523,0
101952,1
104913,0
106127,0
109918,0
103597,0
100626,0
110532,0
111904,1
104702,1
112522,1
103890,0
111598,0
101615,0
104742,0
102436,1
109227,1
106660,0
104631,1
101201,0
101200,1
100783,1
105728,1
104586,0
112391,1
100594,0
106204,1
109619,1
111640,1
110300,1
100675,1
105688,1
103735,1
110467,1
110687,0
107239,0
106822,0
100222,1
100932,0
112107,0
107176,0
110279,1
107633,0
100726,0
100441,1
107750,0
109585,0
109177,0
111735,1
110367,1
111448,1
105273,0
100521,1
107166,1
101999,1
107806,0
107204,1
111201,1
106867,1
102427,0
101807,1
101717,0
101798,1
111477,0
102644,1
102501,0
108035,1
111521,1
101537,1
108356,1
100286,0
107242,1
111714,1
105167,1
110132,0
111089,0
103455,0
108129,1
108659,0
105818,1
112405,0
107955,1
102699,1
109322,1
106530,1
103531,0
106449,1
108177,1
112243,1
111503,0
112610,0
109879,0
101320,0
105521,1
106854,1
103015,0
102806,1
111549,1
109175,0
106923,1
110101,0
105515,0
106881,1
108681,0
103213,1
112889,0
101859,0
109701,0
107681,0
106195,0
109674,1
103005,1
111013,0
106148,0
101946,1
107392,0
106944,1
111628,0
112535,1
102976,1
111976,0
108753,0
